jvm,arm,ns_per_event,bytes_per_event,breaches,updates,buffer,rep
native-pgo,plainGuarded,8.9307,0.000000,102500000,102500000,11551.2267,1
native-pgo,plainGuarded,8.9222,0.000000,102500000,102500000,11551.2267,2
native-pgo,plainGuarded,8.8999,0.000000,102500000,102500000,11551.2267,3
native-pgo,plainGuarded,8.8904,0.000000,102500000,102500000,11551.2267,4
native-pgo,plainGuarded,8.9239,0.000000,102500000,102500000,11551.2267,5
native-pgo,fluxtionStreamClock,9.5799,0.000000,102500000,102500000,11551.2267,1
native-pgo,fluxtionStreamClock,9.5825,0.000000,102500000,102500000,11551.2267,2
native-pgo,fluxtionStreamClock,9.5109,0.000000,102500000,102500000,11551.2267,3
native-pgo,fluxtionStreamClock,9.5114,0.000000,102500000,102500000,11551.2267,4
native-pgo,fluxtionStreamClock,9.5871,0.000000,102500000,102500000,11551.2267,5
native-pgo,fluxtionFlatStreamClock,9.8161,0.000000,102500000,102500000,11551.2267,1
native-pgo,fluxtionFlatStreamClock,9.4706,0.000000,102500000,102500000,11551.2267,2
native-pgo,fluxtionFlatStreamClock,9.3863,0.000000,102500000,102500000,11551.2267,3
native-pgo,fluxtionFlatStreamClock,9.3646,0.000000,102500000,102500000,11551.2267,4
native-pgo,fluxtionFlatStreamClock,9.4746,0.000000,102500000,102500000,11551.2267,5
native-pgo,fluxtionNoAudStreamClock,9.2504,0.000000,102500000,102500000,11551.2267,1
native-pgo,fluxtionNoAudStreamClock,9.3358,0.000000,102500000,102500000,11551.2267,2
native-pgo,fluxtionNoAudStreamClock,9.3193,0.000000,102500000,102500000,11551.2267,3
native-pgo,fluxtionNoAudStreamClock,9.2231,0.000000,102500000,102500000,11551.2267,4
native-pgo,fluxtionNoAudStreamClock,9.3429,0.000000,102500000,102500000,11551.2267,5
