jvm,arm,ns_per_event,bytes_per_event,breaches,updates,buffer,rep
graal25.3-graaljit,plainInline,2.1198,0.000004,102500000,102500000,11551.2267,5
graal25.3-graaljit,plainGuarded,6.8886,0.000004,102500000,102500000,11551.2267,1
graal25.3-graaljit,plainGuarded,6.7396,0.000004,102500000,102500000,11551.2267,2
graal25.3-graaljit,plainGuarded,6.7206,0.000004,102500000,102500000,11551.2267,3
graal25.3-graaljit,plainGuarded,6.7845,0.000004,102500000,102500000,11551.2267,4
graal25.3-graaljit,plainGuarded,6.6648,0.000004,102500000,102500000,11551.2267,5
graal25.3-graaljit,fluxtionStreamClock,8.1343,0.000004,102500000,102500000,11551.2267,1
graal25.3-graaljit,fluxtionStreamClock,7.8838,0.000004,102500000,102500000,11551.2267,2
graal25.3-graaljit,fluxtionStreamClock,7.7127,0.000004,102500000,102500000,11551.2267,3
graal25.3-graaljit,fluxtionStreamClock,7.7017,0.000004,102500000,102500000,11551.2267,4
graal25.3-graaljit,fluxtionStreamClock,7.6587,0.000004,102500000,102500000,11551.2267,5
graal25.3-graaljit,fluxtionDefault,18.9318,0.000004,102500000,102500000,11551.2267,1
graal25.3-graaljit,fluxtionDefault,19.0175,0.000004,102500000,102500000,11551.2267,2
graal25.3-graaljit,fluxtionDefault,18.9809,0.000004,102500000,102500000,11551.2267,3
graal25.3-graaljit,fluxtionDefault,19.0134,0.000004,102500000,102500000,11551.2267,4
graal25.3-graaljit,fluxtionDefault,19.7087,0.000004,102500000,102500000,11551.2267,5
graal25.3-native,plainInline,2.9944,0.000000,102500000,102500000,11551.2267,1
graal25.3-native,plainInline,3.2108,0.000000,102500000,102500000,11551.2267,2
graal25.3-native,plainInline,3.0257,0.000000,102500000,102500000,11551.2267,3
graal25.3-native,plainInline,2.9955,0.000000,102500000,102500000,11551.2267,4
graal25.3-native,plainInline,3.1594,0.000000,102500000,102500000,11551.2267,5
graal25.3-native,plainGuarded,7.8604,0.000000,102500000,102500000,11551.2267,1
graal25.3-native,plainGuarded,7.8426,0.000000,102500000,102500000,11551.2267,2
graal25.3-native,plainGuarded,7.8811,0.000000,102500000,102500000,11551.2267,3
graal25.3-native,plainGuarded,7.8286,0.000000,102500000,102500000,11551.2267,4
graal25.3-native,plainGuarded,7.9141,0.000000,102500000,102500000,11551.2267,5
graal25.3-native,fluxtionStreamClock,13.5280,0.000000,102500000,102500000,11551.2267,1
graal25.3-native,fluxtionStreamClock,14.0775,0.000000,102500000,102500000,11551.2267,2
graal25.3-native,fluxtionStreamClock,13.5950,0.000000,102500000,102500000,11551.2267,3
graal25.3-native,fluxtionStreamClock,13.5439,0.000000,102500000,102500000,11551.2267,4
graal25.3-native,fluxtionStreamClock,13.5310,0.000000,102500000,102500000,11551.2267,5
graal25.3-native,fluxtionDefault,21.5306,0.000000,102500000,102500000,11551.2267,1
graal25.3-native,fluxtionDefault,22.8902,0.000000,102500000,102500000,11551.2267,2
graal25.3-native,fluxtionDefault,21.3463,0.000000,102500000,102500000,11551.2267,3
graal25.3-native,fluxtionDefault,21.4377,0.000000,102500000,102500000,11551.2267,4
graal25.3-native,fluxtionDefault,21.4318,0.000000,102500000,102500000,11551.2267,5
